Problem,Error
"['+', '+', '4']",could not convert string to float: '+'
"['-f', '--', '-', '-4', '+', '2']",could not convert string to float: '-f'
"['5.5', 'f.5', '+', '2']",could not convert string to float: '+'
"['3.1', 'f.4', '*', '8']",could not convert string to float: 'f.4'
"[0.10700000000000004, '+', '2.575', '*', '(', '(', None, '*', 0.562, ')', '/', '2253', ')']","float() argument must be a string or a number, not 'NoneType'"
"[0.10700000000000004, '+', '2.575', '*', '(', '(', None, '*', 0.562, ')', '/', '2253', ')']","float() argument must be a string or a number, not 'NoneType'"
"['2.575', '*', '(', '(', None, '*', 0.562, ')', '/', '2253', ')']","float() argument must be a string or a number, not 'NoneType'"
"['2.575', '*', '(', '(', None, '*', 0.562, ')', '/', '2253', ')']","float() argument must be a string or a number, not 'NoneType'"
"['(', '(', None, '*', 0.562, ')', '/', '2253', ')']","float() argument must be a string or a number, not 'NoneType'"
"['0.0', 3604131073.9750004]",list index out of range
"['0.0', 3602.425]",list index out of range
"[0.0, '1']",list index out of range
"[0.0, '1']",list index out of range
"['2', '*.1']",400 Bad Request (error code: 50006): Cannot send an empty message
"[0.0, '0.1']",list index out of range
"['13', 0.0]",list index out of range
"['0.0', 3604131073.9750004]",list index out of range
"['0', 0.01]",list index out of range
"['4', 2.0]",list index out of range
"['5', '5', '+', '9']",name 'c' is not defined
"['7', '7', '-', '2']",name 'c' is not defined
"['1', '+', '1', '%', 'c', 'a', 'l', 'c', '1', '+', '1']",could not convert string to float: 'c'
[],list index out of range
"['<@!531856699846426644>', '1']",list index out of range
"['<@!305560857902055425>', 'COYG', '8']",invalid literal for int() with base 10: 'COYG'
"['<@!799284546860220457>', 'HALA', 'MADRID', 'ARSHITSENAL']",invalid literal for int() with base 10: 'HALA'
"['<@!449401952942555136>', 'a']",invalid literal for int() with base 10: 'a'
"['<@!544017840760422417>', '2', 'a']",list assignment index out of range
"['<@!449401952942555136>', 'a']",invalid literal for int() with base 10: 'a'
"['<@!449401952942555136>', '1', 'a']",list assignment index out of range
"['<@!449401952942555136>', '2', 'a']",list assignment index out of range
"['<@!449401952942555136>', '2', 'a']",'Member' object is not subscriptable
"['<@!531856699846426644>', 'https://media.tenor.co/videos/883497c9fc0cb5d762f5ca09e6f016cb/mp4', '20']",invalid literal for int() with base 10: 'https://media.tenor.co/videos/883497c9fc0cb5d762f5ca09e6f016cb/mp4'
[],list index out of range
"['k', '1', '+', '1']",could not convert string to float: 'k'
['5'],400 Bad Request (error code: 50006): Cannot send an empty message
"['<', '@', '!', '449330702778105866', '>']",could not convert string to float: '<'
[],list index out of range
"['837.39', '*.1', '1']",'*.1'
"['1', ',', '963', ',', 6.76]","','"
